date;time;type;value;unit
28/01/2015;11:00:56.640;volatile organic compounds;0.05;ppm
28/01/2015;11:00:59.130;carbon dioxide;414;ppm
28/01/2015;11:01:45.602;indoor relative humidity;35.0;%
28/01/2015;11:02:45.015;indoor relative humidity;35.0;%
28/01/2015;11:03:45.107;indoor relative humidity;35.0;%
28/01/2015;11:03:50.737;indoor temperature;21.6;°C
28/01/2015;11:03:55.137;volatile organic compounds;0.06;ppm
28/01/2015;11:04:00.218;carbon dioxide;414;ppm
28/01/2015;11:04:44.999;indoor relative humidity;35.0;%
28/01/2015;11:05:44.893;indoor relative humidity;35.0;%
28/01/2015;11:06:44.625;indoor relative humidity;35.0;%
28/01/2015;11:06:52.016;indoor temperature;21.6;°C
28/01/2015;11:06:54.546;volatile organic compounds;0.05;ppm
28/01/2015;11:07:00.526;carbon dioxide;405;ppm
28/01/2015;11:07:44.818;indoor relative humidity;35.0;%
28/01/2015;11:08:45.900;indoor relative humidity;35.0;%
28/01/2015;11:09:44.422;indoor relative humidity;35.0;%
28/01/2015;11:09:49.713;indoor temperature;21.6;°C
28/01/2015;11:09:55.613;volatile organic compounds;0.05;ppm
28/01/2015;11:10:01.343;carbon dioxide;414;ppm
28/01/2015;11:10:44.106;indoor relative humidity;35.0;%
28/01/2015;11:11:43.998;indoor relative humidity;35.0;%
28/01/2015;11:12:44.110;indoor relative humidity;35.0;%
28/01/2015;11:12:49.841;indoor temperature;21.7;°C
28/01/2015;11:12:56.431;volatile organic compounds;0.05;ppm
28/01/2015;11:13:01.131;carbon dioxide;414;ppm
28/01/2015;11:13:46.923;indoor relative humidity;35.0;%
28/01/2015;11:14:46.395;indoor relative humidity;35.0;%
28/01/2015;11:15:44.407;indoor relative humidity;35.0;%
28/01/2015;11:15:49.718;indoor temperature;21.6;°C
28/01/2015;11:15:55.648;volatile organic compounds;0.05;ppm
28/01/2015;11:16:00.348;carbon dioxide;408;ppm
28/01/2015;11:16:46.920;indoor relative humidity;35.0;%
28/01/2015;11:17:46.304;indoor relative humidity;35.0;%
28/01/2015;11:18:45.426;indoor relative humidity;35.0;%
28/01/2015;11:18:50.926;indoor temperature;21.7;°C
28/01/2015;11:18:56.546;volatile organic compounds;0.05;ppm
28/01/2015;11:19:02.147;carbon dioxide;408;ppm
28/01/2015;11:19:45.418;indoor relative humidity;35.0;%
28/01/2015;11:20:45.401;indoor relative humidity;35.0;%
28/01/2015;11:21:45.223;indoor relative humidity;35.0;%
28/01/2015;11:21:50.433;indoor temperature;21.3;°C
28/01/2015;11:21:54.833;volatile organic compounds;0.05;ppm
28/01/2015;11:21:59.444;carbon dioxide;405;ppm
28/01/2015;11:22:45.415;indoor relative humidity;35.0;%
